[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [1/1] artifacts (~0/0 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [2/2] artifacts (~0/0 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~0/0 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~0/9834 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~9834/9834 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~9834/16862 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~9834/16862 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~16862/16862 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~16862/16862 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~16862/18133 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~18133/18133 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [3/3] artifacts (~18133/18133 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~18133/18133 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~18133/27554 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~27554/27554 bytes)
[298/433] amm.compiler[2.13.1].resolvedCompilationIvyDeps | Downloading [4/4] artifacts (~27554/27554 bytes)
